"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Botetourt,"1,289,445","1,248,685","1,325,388","1,375,303",48,-3.2,6.1,3.8,27
Brunswick,"821,212","875,922","811,102","786,598",66,6.7,-7.4,-3.0,95
Buchanan,"1,012,672","891,075","974,706","1,071,412",55,-12.0,9.4,9.9,7
Buckingham,"521,953","545,941","487,764","475,903",76,4.6,-10.7,-2.4,93
Caroline,"739,985","783,103","791,479","819,814",63,5.8,1.1,3.6,29
Charles City,"225,185","224,602","219,303","225,948",98,-0.3,-2.4,3.0,36
Charlotte,"260,818","257,902","268,849","277,497",94,-1.1,4.2,3.2,32
Chesterfield,"16,052,186","15,857,855","16,632,470","16,951,584",9,-1.2,4.9,1.9,49
Clarke,"465,575","430,930","454,544","456,723",78,-7.4,5.5,0.5,69
Craig,"100,943","98,765","111,950","111,043",104,-2.2,13.3,-0.8,84
Culpeper,"1,854,934","1,822,085","1,915,932","1,960,780",39,-1.8,5.2,2.3,43
Cumberland,"145,424","128,706","151,937","170,421",102,-11.5,18.0,12.2,3
Dickenson,"466,468","476,417","540,117","560,013",73,2.1,13.4,3.7,28
Essex,"371,472","355,225","355,043","349,375",89,-4.4,-0.1,-1.6,89
Fauquier,"2,822,180","2,818,946","2,947,763","2,967,634",32,-0.1,4.6,0.7,63
Floyd,"369,054","372,359","380,190","392,303",83,0.9,2.1,3.2,33
Fluvanna,"913,003","804,534","815,125","894,789",60,-11.9,1.3,9.8,8
Franklin,"1,526,129","1,513,070","1,587,352","1,618,697",43,-0.9,4.9,2.0,47
Giles,"503,540","518,889","623,161","570,480",71,3.0,20.1,-8.5,102
Gloucester,"892,412","896,525","921,432","918,753",59,0.5,2.8,-0.3,81
Goochland,"2,779,608","2,967,752","3,200,573","3,069,526",31,6.8,7.8,-4.1,96
Grayson,"267,985","270,847","261,084","264,121",96,1.1,-3.6,1.2,55
Greene,"447,717","423,729","455,590","458,967",77,-5.4,7.5,0.7,61
Halifax,"1,200,356","1,125,233","1,119,669","1,136,989",53,-6.3,-0.5,1.5,52
Hanover,"6,016,481","5,898,719","6,198,979","6,459,459",20,-2.0,5.1,4.2,21
Henrico,"30,500,513","29,024,077","30,906,150","32,073,153",4,-4.8,6.5,3.8,26
Highland,"70,089","60,283","67,593","75,022",105,-14.0,12.1,11.0,5
Isle of Wight,"1,383,875","1,311,167","1,301,032","1,313,076",49,-5.3,-0.8,0.9,58
King and Queen,"141,753","147,021","153,812","139,116",103,3.7,4.6,-9.6,103
King George,"1,957,762","2,027,139","2,151,565","2,172,678",37,3.5,6.1,1.0,57
King William,"537,734","514,093","530,549","530,227",75,-4.4,3.2,-0.1,76
Lancaster,"435,215","431,764","444,588","452,906",79,-0.8,3.0,1.9,51
Lee,"382,405","394,518","384,280","376,911",85,3.2,-2.6,-1.9,92
Loudoun,"29,573,439","28,724,761","31,763,949","33,771,834",3,-2.9,10.6,6.3,11
Louisa,"2,203,974","2,158,630","2,261,869","2,238,553",35,-2.1,4.8,-1.0,85
Lunenburg,"237,911","235,365","233,863","230,025",97,-1.1,-0.6,-1.6,90
Madison,"341,040","343,520","349,290","363,273",88,0.7,1.7,4.0,23
Mathews,"193,217","191,727","188,658","185,800",101,-0.8,-1.6,-1.5,88
Mecklenburg,"1,019,528","1,077,508","1,100,600","1,099,951",54,5.7,2.1,-0.1,75
Middlesex,"372,513","359,334","365,714","365,585",87,-3.5,1.8,0.0,74
Nelson,"503,489","491,519","536,595","563,612",72,-2.4,9.2,5.0,16
New Kent,"576,854","609,938","642,351","630,942",70,5.7,5.3,-1.8,91
Northampton,"472,520","500,871","443,533","395,919",82,6.0,-11.4,-10.7,104
Northumberland,"447,573","422,833","403,725","383,097",84,-5.5,-4.5,-5.1,98
Nottoway,"529,279","485,267","507,870","552,648",74,-8.3,4.7,8.8,9
Orange,"1,174,100","1,121,822","1,114,530","1,045,916",57,-4.5,-0.7,-6.2,100
Page,"610,082","534,689","612,531","690,215",68,-12.4,14.6,12.7,1
Patrick,"398,483","370,012","375,966","375,171",86,-7.1,1.6,-0.2,80
Powhatan,"821,000","809,566","829,678","835,209",62,-1.4,2.5,0.7,65
Prince Edward,"738,956","704,838","732,332","731,520",67,-4.6,3.9,-0.1,77
Pulaski,"1,388,056","1,266,253","1,411,730","1,573,994",46,-8.8,11.5,11.5,4
Rappahannock,"285,677","275,607","297,817","305,139",93,-3.5,8.1,2.5,42
Richmond,"272,407","285,060","287,700","274,852",95,4.6,0.9,-4.5,97
Russell,"685,321","681,599","650,526","633,533",69,-0.5,-4.6,-2.6,94
Scott,"425,364","408,532","408,672","410,808",81,-4.0,0.0,0.5,68
Shenandoah,"1,774,235","1,671,367","1,729,675","1,801,065",41,-5.8,3.5,4.1,22
Smyth,"1,037,261","976,951","1,021,331","1,050,205",56,-5.8,4.5,2.8,41
Stafford,"5,745,261","6,000,830","6,362,130","6,447,173",21,4.4,6.0,1.3,54
Surry,"1,155,021","1,135,621","1,091,108","1,224,350",51,-1.7,-3.9,12.2,2
Sussex,"346,380","338,250","361,066","322,233",92,-2.3,6.7,-10.8,105
Tazewell,"1,190,242","1,141,607","1,116,833","1,172,985",52,-4.1,-2.2,5.0,17
Warren,"1,811,698","1,760,017","1,722,396","1,815,278",40,-2.9,-2.1,5.4,15
Westmoreland,"478,117","492,396","465,424","439,101",80,3.0,-5.5,-5.7,99
Wythe,"1,446,935","1,405,032","1,439,266","1,520,838",47,-2.9,2.4,5.7,13
Independent cities,,,,,,,,,
Alexandria,"14,974,340","14,462,514","14,895,207","14,979,536",11,-3.4,3.0,0.6,67
Chesapeake,"10,523,558","10,680,640","11,007,366","11,218,526",13,1.5,3.1,1.9,50
Hampton,"6,660,504","6,618,066","6,694,614","6,665,814",19,-0.6,1.2,-0.4,82
Newport News,"13,627,777","13,669,923","14,533,311","15,339,116",10,0.3,6.3,5.5,14
Norfolk,"19,200,787","18,962,549","20,103,020","20,534,141",8,-1.2,6.0,2.1,44
Portsmouth,"6,129,334","6,052,599","6,151,098","6,192,136",22,-1.3,1.6,0.7,64
Richmond,"23,522,992","23,630,347","24,590,280","25,350,816",5,0.5,4.1,3.1,35
Roanoke,"7,079,474","7,007,938","7,465,819","7,617,071",15,-1.0,6.5,2.0,45
Suffolk,"3,882,219","3,935,576","4,083,173","4,083,418",27,1.4,3.8,0.0,73
Virginia Beach,"22,335,512","22,084,798","23,102,181","23,245,091",6,-1.1,4.6,0.6,66
Combination areas2,,,,,,,,,
Albemarle + Charlottesville,"11,879,525","11,469,466","12,539,076","12,901,635",12,-3.5,9.3,2.9,40
Alleghany + Covington,"896,654","823,816","866,302","865,140",61,-8.1,5.2,-0.1,78
"Augusta, Staunton + Waynesboro","5,150,015","4,919,741","5,140,168","5,295,475",26,-4.5,4.5,3.0,37
Campbell + Lynchburg,"7,389,135","7,099,334","7,282,517","7,301,812",16,-3.9,2.6,0.3,70
Carroll + Galax,"942,633","911,112","916,999","924,084",58,-3.3,0.6,0.8,60
"Dinwiddie, Colonial Heights + Petersburg","2,832,870","2,774,879","2,826,770","2,914,662",33,-2.0,1.9,3.1,34
"Fairfax, Fairfax City + Falls Church","125,609,583","125,345,421","133,352,801","137,925,802",1,-0.2,6.4,3.4,31
Frederick + Winchester,"6,745,498","6,832,732","7,216,217","7,220,706",17,1.3,5.6,0.1,72
Greensville + Emporia,"1,385,945","1,390,115","1,503,597","1,574,256",45,0.3,8.2,4.7,18
Henry + Martinsville,"2,201,421","2,144,017","2,213,307","2,214,765",36,-2.6,3.2,0.1,71
James City + Williamsburg,"5,207,826","5,210,669","5,515,671","5,769,225",25,0.1,5.9,4.6,20
Montgomery + Radford,"5,374,176","5,267,213","5,564,733","5,777,746",24,-2.0,5.6,3.8,25
Pittsylvania + Danville,"3,463,846","3,312,560","3,387,666","3,452,985",30,-4.4,2.3,1.9,48
Prince George + Hopewell,"3,862,732","3,898,553","3,852,553","3,799,065",28,0.9,-1.2,-1.4,87
"Prince William, Manassas + Manassas Park","21,798,355","21,565,436","22,278,610","22,585,884",7,-1.1,3.3,1.4,53
Roanoke + Salem,"6,076,687","5,868,411","6,143,624","6,189,165",23,-3.4,4.7,0.7,62
"Rockbridge, Buena Vista + Lexington","1,285,745","1,207,472","1,226,764","1,269,066",50,-6.1,1.6,3.4,30
Rockingham + Harrisonburg,"7,984,577","7,590,097","8,204,969","8,693,159",14,-4.9,8.1,5.9,12
Southampton + Franklin,"811,748","743,804","794,928","802,221",65,-8.4,6.9,0.9,59
Spotsylvania + Fredericksburg,"6,392,115","6,383,365","6,796,218","6,996,859",18,-0.1,6.5,3.0,39
Washington + Bristol,"3,477,367","3,452,419","3,577,262","3,683,432",29,-0.7,3.6,3.0,38
Wise + Norton,"1,454,597","1,422,293","1,494,787","1,602,095",44,-2.2,5.1,7.2,10
York + Poquoson,"2,878,277","2,639,054","2,798,047","2,853,838",34,-8.3,6.0,2.0,46
,,,,,,,,,
Washington,"588,930,437","590,401,007","630,819,770","641,143,568",--,0.2,6.8,1.6,--
Adams,"879,537","903,697","848,784","993,916",29,2.7,-6.1,17.1,1
Asotin,"652,902","657,568","690,061","684,569",32,0.7,4.9,-0.8,29
Benton,"11,879,894","11,478,886","12,089,828","12,003,056",9,-3.4,5.3,-0.7,28
Chelan,"4,632,063","4,540,557","4,813,217","4,899,098",14,-2.0,6.0,1.8,17
Clallam,"2,560,039","2,501,467","2,698,536","2,669,936",20,-2.3,7.9,-1.1,30
Clark,"22,133,779","22,164,411","24,490,108","24,511,742",5,0.1,10.5,0.1,23
Columbia,"345,341","333,032","337,883","345,160",35,-3.6,1.5,2.2,16
Cowlitz,"5,231,999","5,302,398","5,473,446","5,449,102",13,1.3,3.2,-0.4,27
Douglas,"1,851,350","1,866,829","1,857,454","1,905,866",22,0.8,-0.5,2.6,13
Ferry,"171,981","190,828","189,452","184,698",37,11.0,-0.7,-2.5,35
Franklin,"3,865,768","3,925,358","4,104,087","4,203,214",15,1.5,4.6,2.4,14
Garfield,"160,888","173,024","161,627","181,443",38,7.5,-6.6,12.3,2
Grant,"5,674,582","5,762,071","5,680,025","5,810,498",12,1.5,-1.4,2.3,15
Grays Harbor,"2,566,512","2,430,348","2,651,045","2,644,418",21,-5.3,9.1,-0.2,25
Island,"3,267,413","3,307,517","3,542,711","3,442,637",17,1.2,7.1,-2.8,36
Jefferson,"1,117,262","1,079,300","1,144,422","1,161,813",27,-3.4,6.0,1.5,18
King,"321,283,723","329,239,691","357,017,192","367,176,011",1,2.5,8.4,2.8,11
Kitsap,"12,396,819","12,734,085","13,081,004","13,211,612",8,2.7,2.7,1.0,20
Kittitas,"1,781,192","1,812,988","1,895,579","1,874,167",23,1.8,4.6,-1.1,31
Klickitat,"1,730,690","1,588,044","1,658,608","1,636,567",25,-8.2,4.4,-1.3,32
Lewis,"3,505,738","3,423,053","3,478,052","3,576,678",16,-2.4,1.6,2.8,12
Lincoln,"442,553","489,660","483,398","520,372",34,10.6,-1.3,7.6,3
Mason,"1,637,065","1,587,194","1,676,333","1,683,356",24,-3.0,5.6,0.4,21
Okanogan,"1,404,083","1,464,428","1,490,821","1,411,887",26,4.3,1.8,-5.3,39
Pacific,"731,643","727,340","757,522","742,289",31,-0.6,4.1,-2.0,34
Pend Oreille,"568,598","486,306","486,230","522,873",33,-14.5,0.0,7.5,4
Pierce,"44,500,344","44,792,744","47,245,996","47,097,871",3,0.7,5.5,-0.3,26
San Juan,"782,271","775,348","867,694","892,560",30,-0.9,11.9,2.9,10
Skagit,"6,669,840","6,679,499","6,730,598","6,468,582",11,0.1,0.8,-3.9,37
Skamania,"269,001","270,333","296,044","305,994",36,0.5,9.5,3.4,7
Snohomish,"52,258,308","45,864,728","47,607,563","48,304,328",2,-12.2,3.8,1.5,19
Spokane,"26,427,703","26,628,547","28,849,199","28,861,522",4,0.8,8.3,0.0,24
Stevens,"1,094,466","1,087,448","1,146,544","1,150,506",28,-0.6,5.4,0.3,22
Thurston,"14,060,838","13,747,480","14,725,118","15,179,737",6,-2.2,7.1,3.1,8
Wahkiakum,"92,005","99,504","98,215","102,526",39,8.2,-1.3,4.4,5
Walla Walla,"3,469,095","3,238,194","3,305,840","3,417,318",18,-6.7,2.1,3.4,6
Whatcom,"13,655,023","14,158,405","14,284,199","13,584,365",7,3.7,0.9,-4.9,38
Whitman,"2,596,355","2,593,106","2,614,265","2,691,438",19,-0.1,0.8,3.0,9
Yakima,"10,696,037","10,523,373","10,676,322","10,476,526",10,-1.6,1.5,-1.9,33
,,,,,,,,,
West Virginia,"76,786,612","73,952,876","75,520,537","76,525,538",--,-3.7,2.1,1.3,--
Barbour,"396,236","381,116","383,938","477,730",39,-3.8,0.7,24.4,2
Berkeley,"4,047,777","3,981,076","4,149,768","4,075,738",5,-1.6,4.2,-1.8,35
Boone,"640,475","576,144","587,576","653,743",29,-10.0,2.0,11.3,7
Braxton,"323,758","320,204","301,722","293,222",44,-1.1,-5.8,-2.8,39
Brooke,"937,818","950,274","981,909","836,967",23,1.3,3.3,-14.8,53
Cabell,"4,989,208","4,771,531","4,855,011","4,988,932",3,-4.4,1.7,2.8,20
Calhoun,"117,527","113,046","117,640","110,526",54,-3.8,4.1,-6.0,49
Clay,"126,812","120,464","124,188","117,029",53,-5.0,3.1,-5.8,48
Doddridge,"640,961","724,800","588,940","500,087",38,13.1,-18.7,-15.1,54
Fayette,"1,089,244","984,893","1,007,469","1,107,199",16,-9.6,2.3,9.9,10
Gilmer,"178,005","177,620","175,054","166,408",51,-0.2,-1.4,-4.9,47
Grant,"441,218","465,939","460,276","445,441",41,5.6,-1.2,-3.2,41
Greenbrier,"1,193,985","1,147,456","1,153,527","1,115,659",15,-3.9,0.5,-3.3,42
Hampshire,"447,053","442,429","450,068","457,427",40,-1.0,1.7,1.6,23
Hancock,"1,045,699","997,805","955,697","964,192",20,-4.6,-4.2,0.9,26
Hardy,"565,412","560,423","614,500","631,107",31,-0.9,9.6,2.7,21
Harrison,"4,442,523","4,272,559","4,343,812","4,333,795",4,-3.8,1.7,-0.2,30
Jackson,"995,296","902,083","802,342","795,376",24,-9.4,-11.1,-0.9,32
Jefferson,"1,844,908","1,749,447","1,883,138","1,862,402",12,-5.2,7.6,-1.1,33
Kanawha,"10,852,764","10,235,639","10,632,536","10,762,317",1,-5.7,3.9,1.2,24
Lewis,"699,520","556,563","535,727","520,858",36,-20.4,-3.7,-2.8,38
Lincoln,"250,201","229,712","245,155","235,828",47,-8.2,6.7,-3.8,45
Logan,"1,286,797","1,116,705","1,212,817","1,397,203",14,-13.2,8.6,15.2,5
McDowell,"570,664","521,347","489,989","531,552",35,-8.6,-6.0,8.5,11
Marion,"2,299,842","1,945,613","2,033,784","2,168,076",11,-15.4,4.5,6.6,12
Marshall,"2,635,713","2,528,704","2,508,763","2,593,250",10,-4.1,-0.8,3.4,17
Mason,"802,584","762,840","777,909","693,364",27,-5.0,2.0,-10.9,52
Mercer,"1,734,188","1,638,973","1,680,730","1,700,038",13,-5.5,2.5,1.1,25
Mineral,"800,726","876,934","916,583","958,033",21,9.5,4.5,4.5,14
Mingo,"659,924","493,891","438,291","520,422",37,-25.2,-11.3,18.7,3
Monongalia,"6,897,980","6,849,447","7,145,092","7,181,398",2,-0.7,4.3,0.5,27
Monroe,"190,989","202,336","211,059","211,057",48,5.9,4.3,0.0,29
Morgan,"352,562","328,092","340,749","333,730",42,-6.9,3.9,-2.1,37
Nicholas,"638,608","636,189","617,665","640,028",30,-0.4,-2.9,3.6,16
Ohio,"3,704,214","3,433,940","3,473,649","3,589,091",6,-7.3,1.2,3.3,18
Pendleton,"150,538","145,515","157,421","184,863",50,-3.3,8.2,17.4,4
Pleasants,"482,830","468,312","517,629","551,594",33,-3.0,10.5,6.6,13
Pocahontas,"276,749","279,695","275,643","266,493",46,1.1,-1.4,-3.3,43
Preston,"763,634","744,557","774,182","747,062",25,-2.5,4.0,-3.5,44
Putnam,"2,930,986","2,815,268","2,817,163","2,900,856",9,-3.9,0.1,3.0,19
Raleigh,"3,095,818","2,933,349","3,016,084","3,130,413",8,-5.2,2.8,3.8,15
Randolph,"932,430","893,456","879,749","844,922",22,-4.2,-1.5,-4.0,46
Ritchie,"645,875","687,729","612,218","550,187",34,6.5,-11.0,-10.1,50
Roane,"303,855","299,404","289,114","285,428",45,-1.5,-3.4,-1.3,34
Summers,"213,575","213,169","210,441","210,793",49,-0.2,-1.3,0.2,28
Taylor,"522,138","561,456","532,027","590,102",32,7.5,-5.2,10.9,8
Tucker,"310,297","308,129","297,823","328,967",43,-0.7,-3.3,10.5,9
Tyler,"756,147","1,038,468","1,158,360","1,036,490",17,37.3,11.5,-10.5,51
Upshur,"740,446","710,665","712,245","689,916",28,-4.0,0.2,-3.1,40
Wayne,"1,031,292","950,520","969,146","989,347",18,-7.8,2.0,2.1,22
Webster,"158,131","152,617","140,546","137,784",52,-3.5,-7.9,-2.0,36
Wetzel,"583,659","842,772","866,692","977,745",19,44.4,2.8,12.8,6
Wirt,"65,185","63,917","85,587","69,663",55,-1.9,33.9,-18.6,55
Wood,"3,472,699","3,450,770","3,586,907","3,574,890",7,-0.6,3.9,-0.3,31
Wyoming,"515,971","522,723","533,509","698,761",26,1.3,2.1,31.0,1
,,,,,,,,,
Wisconsin,"333,698,626","322,972,686","334,517,321","335,688,474",--,-3.2,3.6,0.4,--
Adams,"583,029","591,436","579,195","547,419",63,1.4,-2.1,-5.5,72
Ashland,"737,554","692,172","683,558","675,210",56,-6.2,-1.2,-1.2,46
Barron,"2,089,337","2,056,469","2,121,638","2,147,689",29,-1.6,3.2,1.2,14
Bayfield,"448,755","412,724","428,814","409,605",67,-8.0,3.9,-4.5,67
Brown,"18,848,688","18,424,106","18,818,089","19,107,490",4,-2.3,2.1,1.5,8
Buffalo,"479,924","512,576","522,590","577,602",60,6.8,2.0,10.5,1
Burnett,"539,934","510,016","519,130","508,928",64,-5.5,1.8,-2.0,53
Calumet,"1,577,919","1,548,223","1,652,809","1,666,786",36,-1.9,6.8,0.8,18
Chippewa,"2,808,512","2,717,679","2,778,068","2,751,784",25,-3.2,2.2,-0.9,40
Clark,"1,418,414","1,331,886","1,316,078","1,327,738",40,-6.1,-1.2,0.9,17
Columbia,"2,817,285","2,736,307","2,798,161","2,691,480",26,-2.9,2.3,-3.8,65
Crawford,"720,147","704,432","708,286","700,788",53,-2.2,0.5,-1.1,44
Dane,"44,841,506","43,885,527","46,349,618","47,231,963",2,-2.1,5.6,1.9,6
Dodge,"3,690,752","3,578,816","3,805,060","3,742,959",23,-3.0,6.3,-1.6,48
Door,"1,330,895","1,292,635","1,381,162","1,357,875",39,-2.9,6.8,-1.7,51
Douglas,"1,802,331","1,751,667","1,776,421","1,760,641",34,-2.8,1.4,-0.9,36
Dunn,"1,837,240","1,840,862","1,893,180","1,850,541",33,0.2,2.8,-2.3,55
Eau Claire,"6,528,726","6,128,229","6,360,352","6,438,940",14,-6.1,3.8,1.2,13
Florence,"131,863","117,303","124,813","126,173",72,-11.0,6.4,1.1,15
Fond du Lac,"5,278,635","5,020,548","5,150,611","5,174,306",16,-4.9,2.6,0.5,21
Forest,"318,337","300,653","293,704","295,483",68,-5.6,-2.3,0.6,19
Grant,"2,266,346","2,142,819","2,205,759","2,178,795",28,-5.5,2.9,-1.2,47
Green,"1,845,636","1,719,104","1,823,659","1,883,570",32,-6.9,6.1,3.3,5
Green Lake,"642,434","612,414","639,076","639,205",58,-4.7,4.4,0.0,26
Iowa,"1,137,093","1,085,528","1,133,974","1,220,310",43,-4.5,4.5,7.6,2
Iron,"182,364","167,625","165,920","159,118",71,-8.1,-1.0,-4.1,66
Jackson,"863,448","812,754","823,643","816,595",49,-5.9,1.3,-0.9,35
Jefferson,"3,513,027","3,391,449","3,614,415","3,646,527",24,-3.5,6.6,0.9,16
Juneau,"941,763","899,216","960,441","912,815",47,-4.5,6.8,-5.0,68
Kenosha,"7,213,480","7,253,012","7,621,564","7,649,149",10,0.5,5.1,0.4,24
Kewaunee,"860,863","751,484","755,112","716,327",51,-12.7,0.5,-5.1,70
La Crosse,"7,683,297","7,355,354","7,550,759","7,532,653",11,-4.3,2.7,-0.2,30
Lafayette,"584,035","584,261","595,052","605,187",59,0.0,1.8,1.7,7
Langlade,"733,881","736,903","712,166","676,197",54,0.4,-3.4,-5.1,69
Lincoln,"1,377,275","1,323,056","1,306,457","1,284,727",41,-3.9,-1.3,-1.7,50
Manitowoc,"3,989,046","3,866,977","3,941,880","3,902,479",22,-3.1,1.9,-1.0,41
Marathon,"8,984,676","8,497,281","8,805,695","8,761,912",7,-5.4,3.6,-0.5,32
Marinette,"1,986,765","1,896,893","1,913,521","1,941,221",30,-4.5,0.9,1.4,10
Marquette,"431,090","413,881","426,792","428,620",66,-4.0,3.1,0.4,23
Menominee,"160,583","146,945","165,899","172,532",70,-8.5,12.9,4.0,4
Milwaukee,"59,241,974","56,561,507","59,158,330","60,057,834",1,-4.5,4.6,1.5,9
Monroe,"2,316,665","2,239,107","2,294,228","2,288,756",27,-3.3,2.5,-0.2,29
Oconto,"1,035,347","1,003,314","1,028,572","994,369",46,-3.1,2.5,-3.3,64
Oneida,"1,726,896","1,732,701","1,746,665","1,718,155",35,0.3,0.8,-1.6,49
Outagamie,"13,005,495","12,390,226","12,655,894","12,528,296",5,-4.7,2.1,-1.0,42
Ozaukee,"5,429,670","5,131,932","5,139,084","5,205,595",15,-5.5,0.1,1.3,11
Pepin,"258,279","272,382","289,857","280,283",69,5.5,6.4,-3.3,63
Pierce,"1,123,048","1,140,504","1,166,364","1,163,597",44,1.6,2.3,-0.2,28
Polk,"1,553,621","1,552,516","1,572,511","1,561,486",37,-0.1,1.3,-0.7,34
Portage,"4,288,737","4,034,138","4,179,936","4,136,598",19,-5.9,3.6,-1.0,43
Price,"611,563","570,980","561,192","555,952",62,-6.6,-1.7,-0.9,39
Racine,"8,287,192","8,326,223","8,430,514","8,389,160",8,0.5,1.3,-0.5,31
Richland,"745,812","671,209","674,119","703,671",52,-10.0,0.4,4.4,3
Rock,"7,509,709","7,466,909","7,687,625","7,784,497",9,-0.6,3.0,1.3,12
Rusk,"548,592","541,354","516,369","502,872",65,-1.3,-4.6,-2.6,58
St. Croix,"4,014,695","3,991,990","4,178,015","4,177,004",18,-0.6,4.7,0.0,27
Sauk,"3,988,091","3,723,209","4,038,703","3,962,726",20,-6.6,8.5,-1.9,52
Sawyer,"701,015","677,658","681,507","675,252",55,-3.3,0.6,-0.9,37
Shawano,"1,370,392","1,325,803","1,297,258","1,266,221",42,-3.3,-2.2,-2.4,56
Sheboygan,"6,985,730","6,835,019","6,975,399","6,777,935",12,-2.2,2.1,-2.8,61
Taylor,"853,546","846,178","806,404","764,685",50,-0.9,-4.7,-5.2,71
Trempealeau,"1,345,854","1,269,353","1,355,583","1,362,055",38,-5.7,6.8,0.5,20
Vernon,"1,054,103","1,039,165","1,041,604","1,013,361",45,-1.4,0.2,-2.7,59
Vilas,"925,816","890,247","871,457","854,104",48,-3.8,-2.1,-2.0,54
Walworth,"4,508,092","4,354,189","4,547,339","4,560,662",17,-3.4,4.4,0.3,25
Washburn,"608,228","576,582","590,411","572,215",61,-5.2,2.4,-3.1,62
Washington,"6,834,090","6,356,202","6,674,148","6,599,490",13,-7.0,5.0,-1.1,45
Waukesha,"30,939,346","30,331,247","31,663,716","31,804,701",3,-2.0,4.4,0.4,22
Waupaca,"1,989,442","1,901,991","1,925,343","1,907,624",31,-4.4,1.2,-0.9,38
Waushara,"674,454","623,489","664,891","647,780",57,-7.6,6.6,-2.6,57
Winnebago,"10,856,396","10,683,815","10,899,145","10,843,847",6,-1.6,2.0,-0.5,33
Wood,"4,155,293","4,117,007","4,022,830","3,911,458",21,-0.9,-2.3,-2.8,60
,,,,,,,,,
Wyoming,"38,558,220","36,181,338","36,929,508","37,294,164",--,-6.2,2.1,1.0,--
Albany,"1,507,601","1,528,034","1,559,662","1,615,817",6,1.4,2.1,3.6,4
Big Horn,"513,832","484,441","478,601","473,264",16,-5.7,-1.2,-1.1,11
Campbell,"5,246,330","5,018,330","4,804,657","5,697,657",2,-4.3,-4.3,18.6,1
Carbon,"1,366,784","1,129,149","1,279,940","1,197,069",11,-17.4,13.4,-6.5,20
Converse,"1,750,724","1,490,663","1,268,444","1,334,272",10,-14.9,-14.9,5.2,2
Crook,"298,747","317,596","312,442","310,992",20,6.3,-1.6,-0.5,10
Fremont,"1,602,650","1,565,301","1,506,216","1,505,961",7,-2.3,-3.8,0.0,8
Goshen,"481,795","455,749","465,742","439,435",17,-5.4,2.2,-5.6,18
Hot Springs,"219,052","279,151","258,512","239,338",22,27.4,-7.4,-7.4,21
Johnson,"386,603","395,441","397,026","388,127",18,2.3,0.4,-2.2,14
Laramie,"6,009,411","5,664,112","5,986,116","5,846,867",1,-5.7,5.7,-2.3,15
Lincoln,"838,215","843,145","837,924","872,367",12,0.6,-0.6,4.1,3
Natrona,"5,678,124","5,070,249","5,001,565","4,988,595",3,-10.7,-1.4,-0.3,9
Niobrara,"117,197","133,203","115,485","100,291",23,13.7,-13.3,-13.2,22
Park,"1,527,142","1,364,816","1,408,729","1,456,902",9,-10.6,3.2,3.4,5
Platte,"587,865","554,219","520,316","507,244",15,-5.7,-6.1,-2.5,17
Sheridan,"1,451,596","1,323,954","1,449,885","1,493,225",8,-8.8,9.5,3.0,6
Sublette,"1,126,582","1,056,402","936,322","798,463",14,-6.2,-11.4,-14.7,23
